,Name,Community,Year of Construction,probability
255,Court House No. 2,DOWNTOWN COMMERCIAL CORE,1912,0.9604032
215,Central Memorial Park Library,BELTLINE,1910,0.94701105
24,7 Street NW Boulevards,ROSEDALE,1932,0.9095679
116,Bow Valley Lawn Bowling Club,HILLHURST,1932,0.8611368
464,Hotel Cecil (Cecil Hotel),DOWNTOWN EAST VILLAGE,1911,0.8488635
881,Substation No. Four,SOUTH CALGARY,1930,0.83807987
562,Louise (Hillhurst) Bridge,HILLHURST,1921,0.8333274
760,Rotary Park Lawn Bowls,CRESCENT HEIGHTS,1931,0.8316774
266,Crescent Park,CRESCENT HEIGHTS,1923,0.8256641
57,Allen (Palace) Theatre,DOWNTOWN COMMERCIAL CORE,1921,0.8162534
615,Mewata Bridge,HILLHURST,1954,0.8092421
59,Anderson Apartments,LOWER MOUNT ROYAL,1912,0.8035466
361,Fort Calgary Archaeological Site,DOWNTOWN EAST VILLAGE,1875,0.7956783
979,YWCA,BELTLINE,1910,0.7597262
961,Willingdon Hall,ASPEN WOODS,1928,0.7588487
718,Quirk Residence,ELBOW PARK,1911,0.75308484
577,Mahood (Mannix) Residence,CLIFF BUNGALOW,1912,0.7479407
451,Hillhurst School,HILLHURST,1911,0.7424099
820,Smith Residence,ELBOW PARK,1912,0.7406802
83,Bank of Nova Scotia (1930),DOWNTOWN COMMERCIAL CORE,1930,0.73473966
666,Oddfellows' Temple (Chamber of Commerce),DOWNTOWN COMMERCIAL CORE,1912,0.72998315
890,Telfer Residence,ELBOW PARK,1911,0.72101927
625,Molson's Bank,DOWNTOWN COMMERCIAL CORE,1911,0.70089626
768,Rutledge Hangar (Municipal Airport No. 1),RENFREW,1929,0.6999146
598,McDougall School,DOWNTOWN COMMERCIAL CORE,1908,0.6993106
76,Balmoral Circus,TUXEDO PARK,1934,0.69748944
165,Calgary Lawn Bowling Club,BELTLINE,1929,0.69407344
938,Webster Residence,BANKVIEW,1912,0.69373906
859,St. Paul's Anglican Church,MIDNAPORE,1885,0.6915493
675,Original Centre Street Bridge Lions,DOWNTOWN COMMERCIAL CORE,1917,0.69133425
560,Lougheed House,BELTLINE,1891,0.6878875
811,Simonelli Residence,KILLARNEY/GLENGARRY,1955,0.6847007
184,Canadian Bank of Commerce,INGLEWOOD,1911,0.6835316
307,Dunsmoor Residence,HILLHURST,1912,0.67860484
962,Willis Residence,PARKDALE,1912,0.67484695
926,Victoria Pavilion,BELTLINE,1919,0.67380404
82,Bank of Nova Scotia (1904),DOWNTOWN COMMERCIAL CORE,1904,0.6682136
884,Sunalta School,SCARBORO,1912,0.66777533
31,A. B. C. Dando Residence,HILLHURST,1913,0.63771987
510,John A. Tweddle Residence,HILLHURST,1913,0.63771987
532,King George School,MOUNT PLEASANT,1913,0.6367802
100,Betz Residence,PARKDALE,1913,0.63374186
418,Haddock Tree Nursery,STRATHCONA PARK,1930,0.62561333
210,Cawston Residence,ELBOW PARK,1910,0.6254808
539,Lacombe Home Site,MIDNAPORE,1910,0.6240794
436,Heritage Hall (SAIT Campus),HILLHURST,1921,0.61838806
435,Herbert and Barbara Taylor Residence,SOUTH CALGARY,1912,0.617027
469,Hudson's Bay Company Warehouse,BELTLINE,1912,0.61496055
182,Canada Life Assurance (Hollinsworth) Building,DOWNTOWN COMMERCIAL CORE,1912,0.6115024
732,Reid Residence,ELBOW PARK,1926,0.60837436
72,Austin Residence,ELBOW PARK,1922,0.6081342
801,Shipley Residence,ELBOW PARK,1921,0.6081342
140,Burns Building,DOWNTOWN COMMERCIAL CORE,1912,0.5951695
534,Knechtel Residence,ROSEDALE,1913,0.5941777
345,Fire Hall No. 5,SCARBORO,1910,0.5931942
359,Fordyce House,ELBOW PARK,1924,0.5927294
180,Campbell Residence,ELBOW PARK,1912,0.58977634
658,North-West Travellers Building,DOWNTOWN COMMERCIAL CORE,1913,0.58932114
117,Bow Valley Ranch House,FISH CREEK PARK,1896,0.58586895
739,Rideau Park Pedestrian Bridge (Elbow River),ELBOW PARK,1934,0.5818174
832,Spurway Residence,INGLEWOOD,1900,0.57984954
617,Miller Residence,SOUTH CALGARY,1912,0.5787094
242,Colonel Walker School,INGLEWOOD,1911,0.57701576
205,Carson Block,INGLEWOOD,1912,0.5762205
622,Mission Bridge,MISSION,1915,0.56378686
470,Hunt House,INGLEWOOD,1881,0.559261
272,Cushing Bridge,SOUTHVIEW,1956,0.55817014
34,Aberhart Residence,CLIFF BUNGALOW,1927,0.55459476
47,Alberta Hide & Fur Co. Building,DOWNTOWN EAST VILLAGE,1907,0.5505747
555,Lineham Block,DOWNTOWN COMMERCIAL CORE,1886,0.548765
238,College Apartments,CLIFF BUNGALOW,1911,0.5475692
37,AGT Building - Hillhurst Exchange,HILLHURST,1922,0.54433775
573,Macnaghten Block,DOWNTOWN COMMERCIAL CORE,1888,0.5442423
250,Coram residence,RIDEAU PARK,1914,0.53964764
590,McAra (Mackie) Residence,ROSEDALE,1914,0.53748465
163,Calgary Herald Block (Calgary Wine & Spirit),DOWNTOWN COMMERCIAL CORE,1887,0.53715736
721,Raduloff Residence,RICHMOND,1953,0.5359759
628,Moore Residence,SHAGANAPPI,1912,0.53573054
462,Hone Ranch House,SOUTHWOOD,1910,0.53528047
637,National Hotel,INGLEWOOD,1910,0.53421575
171,Calgary Plumbing & Heating/Tyndale Memorial Bible House,DOWNTOWN COMMERCIAL CORE,1926,0.53410554
956,William and Florence Thompson Residence,ROXBORO,1928,0.53408015
396,Gordon Suites,CLIFF BUNGALOW,1929,0.53330076
572,MacMillan Residence,SOUTH CALGARY,1912,0.53276974
501,James and Emma Moore Residence,SOUTH CALGARY,1912,0.53276974
62,Army & Navy Store,DOWNTOWN COMMERCIAL CORE,1928,0.5325589
976,York Hotel,DOWNTOWN COMMERCIAL CORE,1930,0.53229046
630,Morgan Residence,ELBOW PARK,1911,0.528421
248,Connaught School,BELTLINE,1910,0.5271855
428,Hayden Block,HILLHURST,1912,0.5269846
618,Millican Residence,ELBOW PARK,1914,0.52629554
664,O'Connell House & Out Buildings,SPRINGBANK HILL,1912,0.5247055
891,Templeton Residence,SCARBORO,1915,0.52452326
232,Clarke-Love Residence,SCARBORO,1929,0.5214124
688,Paskapoo Slope Archaeological Sites,PATTERSON,1912,0.52132297
