,Name,Community,Year of Construction,probability
100,Betz Residence,PARKDALE,1913,0.8678679
266,Crescent Park,CRESCENT HEIGHTS,1923,0.6762084
346,Fire Hall No. 5 (1952),SOUTH CALGARY,1952,0.6319871
254,Costigan Residence,MISSION,1893,0.6086999
120,Bowness Town Hall,BOWNESS,1956,0.5936857
834,St. Andrew's United Church,CHINOOK PARK,1961,0.4998464
929,W.H. Birkenshaw Residence,BELTLINE,1908,0.40947697
350,Firestone Tire & Rubber Company of Canada (water tower),MAYLAND,1960,0.35331303
215,Central Memorial Park Library,BELTLINE,1910,0.3321496
451,Hillhurst School,HILLHURST,1911,0.25271714
732,Reid Residence,ELBOW PARK,1926,0.23468028
893,Teskey Residence,BELTLINE,1912,0.1929821
49,Alberta Wheat Pool Building,DOWNTOWN COMMERCIAL CORE,1958,0.1772488
750,Riverside Bungalow School No. 2,BRIDGELAND/RIVERSIDE,1920,0.124258146
863,St. Stephen's Memorial Hall,BELTLINE,1923,0.11890268
861,St. Stephen’s Anglican Church and Education Building,BELTLINE,1952,0.106540166
213,Central High School Addition,BELTLINE,1940,0.09688606
660,Norwood Apartments,BELTLINE,1912,0.0930293
478,Inglewood Lawn Bowling Club,INGLEWOOD,1936,0.08816704
816,Smalley Residence,SUNNYSIDE,1910,0.0844965
967,Woodhall Residence,BELTLINE,1905,0.082662135
332,Elveden Centre,DOWNTOWN COMMERCIAL CORE,1958,0.08221533
72,Austin Residence,ELBOW PARK,1922,0.07965552
96,Belisle Residence,MISSION,1912,0.079338945
715,Quarry Road,SPRUCE CLIFF,1895.0,0.07415408
331,Elsworth (Gosnik) Residence,DOWNTOWN WEST END,1911,0.070393115
299,Dominion Bridge/Riverside Iron Works,RAMSAY,1927,0.061384503
110,Blow Block,INGLEWOOD,1908,0.060853366
448,Hillhurst Baptist Church,HILLHURST,1907,0.05552639
244,Compton Apartments,DOWNTOWN COMMERCIAL CORE,1930,0.053875573
67,Athlone Apartments,MISSION,1940,0.052071635
678,Oscar England Residence,INGLEWOOD,1911,0.047207035
931,W.R. Castell Central Library,DOWNTOWN COMMERCIAL CORE,1963,0.04706481
24,7 Street NW Boulevards,ROSEDALE,1932,0.047007475
973,Wright Residence,DALHOUSIE,1934,0.045373365
59,Anderson Apartments,LOWER MOUNT ROYAL,1912,0.04209564
277,Daniel McNeil Residence,CLIFF BUNGALOW,1910,0.038605597
514,John K Kaiser Residence,BRIDGELAND/RIVERSIDE,1910,0.038218338
312,Eamon's Bungalow Camp,ROCKY RIDGE,1952,0.032099485
361,Fort Calgary Archaeological Site,DOWNTOWN EAST VILLAGE,1875,0.031161373
548,Laurence Apartments,CLIFF BUNGALOW,1930,0.028078375
962,Willis Residence,PARKDALE,1912,0.027200643
485,Iverson Residence,BOWNESS,1934,0.026889088
679,Our Lady Queen of Peace Roman Catholic Church,UNIVERSITY HEIGHTS,1968,0.026513886
209,Catholic School Centre,DOWNTOWN COMMERCIAL CORE,1968,0.024604809
924,Vendome Block,SUNNYSIDE,1912,0.02373573
171,Calgary Plumbing & Heating/Tyndale Memorial Bible House,DOWNTOWN COMMERCIAL CORE,1926,0.02249049
581,Malden (Link) Residence,UPPER MOUNT ROYAL,1930,0.022367612
488,J.H. Ashdown Hardware Warehouse,DOWNTOWN COMMERCIAL CORE,1952,0.021333735
809,Simmons (McCullough) House,UPPER MOUNT ROYAL,1910,0.020855067
281,Davidson Residence,ROSEDALE,1913,0.019100513
876,Strand Apartments,MISSION,1920,0.018865656
570,MacKenzie Residence,UPPER MOUNT ROYAL,1927,0.018829094
398,Graham Residence,SCARBORO,1913,0.018765328
280,Darrach Residence,SUNALTA,1909,0.01856627
70,Aull Block #1 & #2,BELTLINE,1908,0.01851599
206,Carson Residence,ELBOW PARK,1953,0.017725661
136,Brown Residence,UPPER MOUNT ROYAL,1927,0.01765507
65,Arthur M. Webb Residence,DOWNTOWN WEST END,1925,0.01707467
343,Fire Hall No. 3 (1952),INGLEWOOD,1952,0.016124472
736,Ricardo Ranch,SETON,1887,0.015732722
352,First Baptist Church Manse,BELTLINE,1911,0.015382687
235,Colborne Residence,BANKVIEW,1913,0.014969654
971,Worker's Cottages,MANCHESTER,1913,0.014836945
329,Electric Substation #14,BOWNESS,1961,0.014605221
917,Union Cemetery,MANCHESTER INDUSTRIAL,1891,0.014323661
961,Willingdon Hall,ASPEN WOODS,1928,0.014209528
33,A.L. Crooks Residence,SCARBORO,1912,0.014072271
770,Sacred Heart Roman Catholic Church,Sunalta,1930; 1955; 1964,0.014068845
432,Heeney Residence,LOWER MOUNT ROYAL,1912,0.013804936
216,Central Methodist Church,DOWNTOWN COMMERCIAL CORE,1905,0.013742438
637,National Hotel,INGLEWOOD,1910,0.013703817
914,U of C River Cooling Water Pump Station,POINT MCKAY,1966,0.013506215
327,Elbow Park School,ELBOW PARK,1926,0.013362055
955,Wiggins Duplex,BRIDGELAND/RIVERSIDE,1911,0.013139177
824,Southern Alberta Jubilee Auditorium,HILLHURST,1957,0.012926276
912,Tuxedo Park School,TUXEDO PARK,1920,0.012787076
667,Officers' Mess & Formal Gardens J5: Currie Barracks,CURRIE BARRACKS,1936,0.012774724
231,Clarence Block,DOWNTOWN COMMERCIAL CORE,1901,0.012627095
597,McDonald Residence,RAMSAY,1911,0.012580363
166,Calgary Masonic Temple,BELTLINE,1928,0.012207592
360,Forslund Resicence,Scarboro,1915,0.011465424
875,Stocks (Mayor Leslie) Residence,GLENMORE PARK,1913,0.01136128
979,YWCA,BELTLINE,1910,0.011026303
746,Riverdale Avenue - Sifton Boulevard Pedestrian Bridge,ELBOW PARK,1947,0.010660072
141,Burnsland Cemetery,MANCHESTER INDUSTRIAL,1923,0.010617807
242,Colonel Walker School,INGLEWOOD,1911,0.010614325
314,East Calgary (Inglewood) Bridge,DOWNTOWN EAST VILLAGE,1908,0.010475217
725,Ranchlands Hills Parks,RANCHLANDS,1976,0.010420531
138,Burdett Residence,SUNALTA,1929,0.010388491
284,Deane House,INGLEWOOD,1906,0.010359583
461,Holy Trinity Church,FOREST LAWN,1962,0.010307873
