Community,Ward,Resource Type,Year of Construction,Development Era,Architectural Style,Original Use,Provincial,Municipal,Is Demolished,Is Decommissioned
CRESCENT HEIGHTS,7,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
SUNNYSIDE,7,Community Historic Resource,1939,1930 to 1939 (Depression),Art Deco,Residence,False,False,True,False
SUNNYSIDE,7,Community Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Edwardian Commercial,Commerce,False,False,False,False
RIDEAU PARK,8,Community Historic Resource,1927,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Community,False,False,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1930,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
HILLHURST,7,City Wide Historic Resource,1919,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
SUNNYSIDE,7,Community Historic Resource,1910,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
BELTLINE,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Unknown,Transport,False,False,False,False
TUSCANY,1,City Wide Historic Resource,1912,"ca. 1,500 – 200 years ago (Late Period)",Unknown,Archaeology,False,False,False,False
SUNALTA,8,Community Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Craftsman,Residence,False,False,False,False
SUNNYSIDE,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,True,False
SUNALTA,8,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Gable-Front,Residence,False,False,False,False
CLIFF BUNGALOW,8,City Wide Historic Resource,1911,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Other,Education,False,False,True,False
HILLHURST,7,Community Historic Resource,1912,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Foursquare,Residence,False,False,False,False
ROSEDALE,7,Community Historic Resource,1932,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
CRESCENT HEIGHTS,7,Community Historic Resource,1932,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
ROSEDALE,7,Community Historic Resource,1932,1930 to 1939 (Depression),Unknown,Transport,False,True,False,False
CLIFF BUNGALOW,8,Community Historic Resource,1915,1914 to 1918 (WWI),Unknown,Transport,False,True,False,False
HILLHURST,7,City Wide Historic Resource,1929,1919 to 1929 (Post WWI to Stock Market Crash),Unknown,Transport,False,True,False,False
BELTLINE,8,Community Historic Resource,1913,"1906 to 1913 (Pre WWI Boom, Age of Optimism)",Edwardian Commercial,Commerce,False,False,False,False
